z Mhalo_peak_50 Mhalo_peak_16 Mhalo_peak_84
0.35 1215819487348.199 977287812509.4819 1357914239778.742
0.65 1596485758572.635 1433982174725.0605 1753583291297.406
0.9500000000000001 1523459056019.7744 1414009738773.1753 1711843178796.768
1.3 2180287408130.2434 1856524716511.6829 2515044948214.2925
1.75 1949730868636.8342 1621295263949.0366 2540865962360.4272
2.25 3810427084565.1626 3026917405462.265 4404215000938.4795
2.75 4741422054171.5625 3189761970023.1333 10242475486135.484
3.25 7305557799362.578 2378547962087.3926 50432748484468.18
4.0 11951440465444.465 6282159912574.291 24182668980219.215
5.0 9517489138245.582 3879001729617.081 23990237875968.22
