z Mhalo_peak_50 Mhalo_peak_16 Mhalo_peak_84
0.3 2446479466557.503 2721515429299.3247 2130059528351.5576
0.6 1000000000000000.0 1000000000000000.0 1000000000000000.0
1.0 2248651517182.5884 2570683437585.7393 2216957735642.7905
1.2 2800412583374.418 2451052907109.2607 2472070694016.293
1.7 3398981714248.6567 2732743829488.7544 1146226072311.4126
2.2 5062213158607.471 1889777755737.3047 1281027376651.764
2.4 5495475006103.516 1000000000000000.0 1135168064385.6523
3.0 6038212919235.2295 1000000000000000.0 1144568842649.46
3.9 1740969288349.5156 1968835556507.1106 1739843177795.4102
9.9 0.0 0.0 0.0
