z Mhalo_peak_50 Mhalo_peak_16 Mhalo_peak_84
0.3 528820609301.3287 588016148656.6067 500373557209.96857
0.6 464578413916.7517 495744091272.3541 488899114727.97394
0.9 484398458898.0675 411357229948.0438 506597489118.57605
1.3 447976100444.7937 471341988444.3283 429329097272.4208
1.7 376672995090.47327 732235050946.4713 1000000000000000.0
2.2 399337053205.81793 492870056629.2264 403270679712.29553
2.7 455465555192.49524 414455038355.66345 431150908023.1161
3.2 1509923899173.7366 1474149286560.714 1482237303256.9885
4.0 883808922767.6392 849828122556.2096 940962010621.6608
5.0 0.0 0.0 0.0
