z Mhalo_peak_50 Mhalo_peak_16 Mhalo_peak_84
0.3 1556677910685.5393 1730651617050.171 1309777760505.6763
0.6 1887285375598.0032 1949619209766.388 1050739055871.9635
0.9 1262869155406.952 2631189052760.6016 1110797366499.8994
1.3 1717878031730.6519 2950117737078.108 1587462710961.6995
1.7 1787811828032.136 29936450958251.953 1780304002761.8408
2.2 1849317026138.4875 4836363971233.368 1843256045132.6936
2.7 3093089246749.878 7935337448120.095 1000000000000000.0
3.2 3268297600746.155 3429785835742.5864 3262120601627.976
4.0 1703114235401.1536 1000000000000000.0 1000000000000000.0
5.0 0.0 0.0 0.0
