z Mstellar_peak_50 Mstellar_peak_16 Mstellar_peak_84
0.35 32672563342.04813 22539160979.019318 40994969273.81355
0.65 40879056342.69518 32985871157.51467 49997759738.717
0.9500000000000001 50158432346.30385 41914161800.27904 61539976939.522316
1.3 51687097783.10993 40022672549.59466 63027357362.61533
1.75 50514153761.61474 37210763628.59504 75877346689.90535
2.25 79763139069.79646 51691277583.559746 99940134589.97528
2.75 101941925560.20181 57075656723.609535 243909784581.5429
3.25 154100920793.46146 39706542017.648674 2937893607160.708
4.0 818402582989.9885 255023666948.2494 3261438541798.104
5.0 429879447667.36194 81455642160.02751 2750831347608.9946
