Mhalo Mcent_50 Mcent_16 Mcent_84 Msat_50 Msat_16 Msat_84
368221974787.33124 2985498058.786838 2124616296.4542665 3769948945.3411694 -38401.548915623716 -28414.321848607364 -91838.43268787957
403502257126.8515 3517719884.077749 2467791270.914094 4446638731.626421 -39571.59483010603 -29280.840268044823 -94336.69682564728
442162832895.8314 4154113371.2132487 2885657970.2823277 5251847416.760962 -13034.088972244994 -9646.909676738098 -30142.678155949106
484527576590.492 4917912802.642538 3406306734.4241576 6209085771.169724 61568.98842674623 45433.87954911174 151740.21127964815
530951393944.8718 5828718869.423712 4050201406.9087048 7346568870.973956 177226.41049057836 129455.66496276885 457782.2434270358
581823195112.512 6902235988.639505 4830617942.736759 8697924413.565529 296209.1936536789 211738.6546370297 846194.367467217
637569152716.2281 8151780828.309962 5758117082.455319 10302842100.082476 353313.955207077 239737.49232148752 1236335.9325107483
698656272059.9028 9585986420.037626 6838223483.3898735 12208080751.190252 243729.19289914262 129431.06498594047 1490733.7887345215
765596303411.3346 11206831250.63464 8069103980.789073 14468812988.667137 -165811.24411733533 -236938.1486208815 1473946.5927111097
838950029130.8411 13033838463.991001 9459785604.084435 17153976973.948399 -483898.76377249707 -801071.4878035795 2746212.962023926
919331961560.5381 15115768329.371126 11037979871.431973 20350308655.524426 541890.0538213807 -1207949.052752811 9619342.64384361
1007415491030.319 17518954880.169365 12838714090.328836 24163635028.863667 4940879.39460717 -856042.5140571543 28968248.464932915
1103938527107.358 20332674743.849445 14905744544.311874 28723191769.27211 15831608.753447518 1203410.6136640292 71253789.69249713
1209709680348.0518 23676768876.619247 17293837005.655945 34186907131.943848 37905042.82277194 6428943.639431979 151935452.35144556
1325615036339.311 27681768007.05486 20056338762.29572 40735100328.51679 80370820.19963251 18049340.145854272 290851030.51220345
1452625578777.946 32462013021.123016 23228292465.88591 48561319957.077965 160935685.57536057 42765744.48537861 511398484.79135495
1591805323774.1382 38142529509.740685 26835860059.30164 57886239967.05965 306365030.3656478 90866782.3197807 844794825.9810463
1744320233523.1782 44861709064.64353 30891775902.493843 68961159227.41035 555772969.056056 177534309.36922276 1333002324.5933766
1911447984018.7278 52770077866.64949 35386692358.75028 82069616457.88887 965385729.1766263 324760175.59614784 2032297734.3586614
2094588668635.4888 62021265703.3402 40299563906.62622 97535318311.87285 1609397106.961739 565260995.2431502 3028902675.6428604
2295276527249.3047 72750267277.18584 45640891061.95824 115740666322.06898 2573747406.308941 949501273.6976067 4474332865.451956
2515192799154.039 85067548105.867 51420777194.20341 137120019662.50041 3969810096.0809436 1549972012.2476914 6589856566.623428
2756179807449.058 99040563093.39691 57636984322.6102 162158372302.49582 5944910358.2818365 2468792373.351827 9687634502.163403
3020256392887.633 114663919550.03746 64268837107.435165 191389962804.27295 8693714067.548197 3848543389.7012544 14204129221.627972
3309634826481.5503 131877334759.50641 71298055666.59521 225411096216.732 12478925091.461937 5880704207.670716 20724088808.603603
3626739342545.309 150823713726.2774 78850788109.57806 264964277647.4413 17681025744.230263 8792990579.63743 29930714246.674294
3974226447438.341 171768880113.54794 87183772343.41554 310919506067.9463 24824529926.96019 12875150611.66399 42685281612.551544
4355007174139.385 195050408562.7586 96694605991.3744 364261663792.5727 34618202013.74614 18507350373.665897 60112785083.03564
4772271469088.14 221102046493.57092 107982190431.81946 426096239344.08496 48017280099.85777 26188183971.154144 83682534344.56488
5229514915592.156 250457061101.58194 121850217269.72604 497637442035.4383 66262522588.36426 36580296510.2304 115274790190.93938
5730568017671.092 283482127838.15173 138585146144.77655 580062068637.1215 90531821769.88046 50652021813.87931 156911901412.43814
6279628289660.642 320350275023.2754 157878152876.02234 674454847016.582 121958234492.64978 69766570843.83191 210825437688.51822
6881295420402.695 361102004959.0587 178985222671.7872 781769472165.281 161795775718.61563 95770441100.04205 279668189449.09534
7540609806605.9375 405569326055.9192 200519468286.95645 902693101009.5715 211405755190.32617 131157098683.62022 366584384582.20605
8263094778185.548 453283933242.4314 220237985077.82812 1037499006804.3652 272269585854.19354 179222179961.14212 475302881500.17786
9054802869319.906 503734156443.49725 236573005751.4201 1186979154527.3767 347013057941.5878 242843343521.94162 610630944525.1417
9922366522854.729 556452871657.2162 249486160464.13663 1352929788451.443 440102486810.08734 323764990101.40466 778842655076.5724
10873053652824.906 610688628047.1322 259515813002.4679 1537471099845.0935 557597010331.946 423258643286.04266 987731348132.4624
