## {'tot': 4225644276050.0, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        DD         npairs   
  1.2723e-04   1.3330e-04  -8.9318e+00   1.6860e+05   1.6860e+05
  2.0596e-04   2.1562e-04  -8.4508e+00   4.4059e+05   4.4059e+05
  3.3340e-04   3.4881e-04  -7.9694e+00   1.1430e+06   1.1430e+06
  5.3969e-04   5.6482e-04  -7.4871e+00   2.9803e+06   2.9803e+06
  8.7364e-04   9.1487e-04  -7.0047e+00   7.7532e+06   7.7532e+06
  1.4142e-03   1.4818e-03  -6.5225e+00   2.0070e+07   2.0070e+07
  2.2893e-03   2.3994e-03  -6.0406e+00   5.1685e+07   5.1685e+07
  3.7058e-03   3.8834e-03  -5.5591e+00   1.3218e+08   1.3218e+08
  5.9989e-03   6.2870e-03  -5.0774e+00   3.3573e+08   3.3573e+08
  9.7108e-03   1.0173e-02  -4.5961e+00   8.4684e+08   8.4684e+08
  1.5719e-02   1.6473e-02  -4.1143e+00   2.1339e+09   2.1339e+09
  2.5446e-02   2.6657e-02  -3.6328e+00   5.3593e+09   5.3593e+09
  4.1191e-02   4.3174e-02  -3.1508e+00   1.3522e+10   1.3522e+10
  6.6679e-02   6.9876e-02  -2.6694e+00   3.3663e+10   3.3663e+10
  1.0794e-01   1.1296e-01  -2.1889e+00   8.2700e+10   8.2700e+10
  1.7473e-01   1.8271e-01  -1.7082e+00   2.0027e+11   2.0027e+11
  2.8284e-01   2.9509e-01  -1.2289e+00   4.6312e+11   4.6312e+11
  4.5786e-01   4.7498e-01  -7.5284e-01   9.7057e+11   9.7057e+11
  7.4116e-01   7.5611e-01  -2.8816e-01   1.5399e+12   1.5399e+12
  1.1998e+00   1.1200e+00   1.0763e-01   9.0585e+11   9.0585e+11
  1.9422e+00   1.5864e+00   4.6117e-01   7.1831e+09   7.1831e+09
  3.1439e+00   3.1439e+00   1.1455e+00   0.0000e+00   0.0000e+00
