logM Fi dFi
8.465 0.01994326984262665 0.0017779255571609303
8.715 0.016439829849482127 0.001477068129037849
8.965 0.013217557680572511 0.0011924487977249567
9.215 0.010164370331532353 0.0009393801752712561
9.465 0.007514151073310729 0.0007005684790945802
9.715 0.005799303317990853 0.0005739261817986888
9.965 0.004489783213928402 0.0004625053914257491
10.215 0.003835023161897177 0.0004268688255527756
10.465 0.003319529533631323 0.00041100167387842125
10.715 0.0026107257947657744 0.0004583314105898173
10.965 0.0016670398785048975 0.00027300417129967456
11.215 0.0009062710561448072 0.00017770370567622018
11.465 0.00020578173063838512 5.403100564115137e-05
11.715 2.2864636737598343e-05 1.1278599611728905e-05
11.965 6.235810019345002e-06 4.106386172943335e-06
