## {'tot': 71055120.5, 'coords': 'spherical', 'metric': 'Euclidean', 'sep_units': 'deg', 'bin_type': 'Log'}
#   r_nom       meanr       meanlogr        xi        sigma_xi        DD         npairs   
  7.4083e-04   8.1879e-04  -7.1298e+00   1.8919e+00   1.5029e-01   4.7500e+02   4.7500e+02
  1.6264e-03   1.7962e-03  -6.3451e+00   5.4020e-01   6.3953e-02   1.1900e+03   1.1900e+03
  3.5704e-03   3.9819e-03  -5.5472e+00   1.9350e-01   2.2307e-02   4.2870e+03   4.2870e+03
  7.8381e-03   8.7487e-03  -4.7591e+00   1.0965e-01   1.2868e-02   1.8263e+04   1.8263e+04
  1.7207e-02   1.9280e-02  -3.9687e+00   7.9334e-02   8.6169e-03   8.0112e+04   8.0112e+04
  3.7775e-02   4.2399e-02  -3.1807e+00   3.6505e-02   5.8776e-03   3.4895e+05   3.4895e+05
  8.2928e-02   9.2824e-02  -2.3975e+00   7.5546e-03   4.8899e-03   1.4945e+06   1.4945e+06
  1.8205e-01   2.0377e-01  -1.6121e+00   5.6459e-04   2.1363e-03   6.2534e+06   6.2534e+06
  3.9967e-01   4.4051e-01  -8.4264e-01  -2.1890e-03   1.4817e-03   2.2458e+07   2.2458e+07
  8.7739e-01   8.7569e-01  -1.5490e-01   2.3405e-04   7.9898e-04   3.8665e+07   3.8665e+07
